date,Volume,RAT
2014-01-18,0.0,LTE
2014-01-19,1.0,LTE
2014-01-20,1.0,LTE
2014-01-21,3.0,LTE
2014-01-22,0.0,LTE
2014-01-23,0.0,LTE
2014-01-24,1.0,LTE
2014-01-25,0.0,LTE
2014-01-26,0.0,LTE
2014-01-27,3.0,LTE
2014-01-28,2.0,LTE
2014-01-29,2.0,LTE
2014-01-30,0.0,LTE
2014-01-31,0.0,LTE
2014-02-01,2.0,LTE
2014-02-02,1.0,LTE
2014-02-03,4.0,LTE
2014-02-04,2.0,LTE
2014-02-05,0.0,LTE
2014-02-06,0.0,LTE
2014-02-07,2.0,LTE
2014-02-08,1.0,LTE
2014-02-09,0.0,LTE
2014-02-10,0.0,LTE
2014-02-11,0.0,LTE
2014-02-12,1.0,LTE
2014-02-13,3.0,LTE
